Name,"Release Date","Last Update","Current Price"
"1944: Across The Rhine","1995-07-01 17:24:34","2021-09-17 00:25:21",5.99
1NSANE,"2001-02-05 17:24:26","2021-07-29 03:05:18",9.99
"3D Body Adventure","1994-03-04 17:24:05","2021-07-13 17:59:48",4.99
"3D Dinosaur Adventure","1994-03-04 17:24:05","2021-07-13 17:59:52",4.99
"688(I) Hunter-Killer","1997-07-04 17:24:34","2021-09-09 23:07:37",9.99
"7.62 High Calibre","2007-08-24 17:24:10","2020-09-28 21:14:39",4.99
"A Boy And His Blob","2016-01-19 17:24:27","2021-09-23 20:24:17",2.99
Aboo,"2007-04-04 17:24:00","2020-09-28 21:19:50",2.99
"Actua Golf 2","1997-09-01 17:24:34","2020-09-28 21:23:05",5.99
"Actua Ice Hockey 2","1999-05-01 11:00:00","2021-03-24 16:44:46",5.99
"Actua Pool","1999-01-01 17:24:34","2020-09-28 21:23:31",5.99
"Actua Soccer 3","1998-12-01 17:24:48","2020-09-28 21:27:22",5.99
"Actua Tennis","1998-01-01 12:00:00","2021-03-27 12:08:14",5.99
"Advent Rising","2005-08-09 17:24:01","2021-09-23 20:24:37",2.99
A.I.M.,"2006-12-01 17:24:10","2021-09-20 04:54:57",4.99
"A.I.M. 2 - Clan Wars","2007-08-18 17:24:10","2021-09-20 04:55:15",4.99
"A.I.M. Racing","2010-01-22 17:24:10","2021-09-20 04:55:39",4.99
"Airport Madness - World Edition","2015-05-28 17:24:28","2021-01-30 05:06:50",9.99
"Alekhine's Gun","2016-03-11 19:00:00","2021-07-20 19:05:02",14.99
"Alien Carnage - Halloween Harry","1994-11-04 19:00:00","2021-09-24 23:13:44",0
"Alien Disco Safari","2007-03-27 17:24:08","2021-09-28 07:42:58",3.99
"Alien Hallway","2011-08-19 17:24:04","2020-09-28 21:57:12",4.99
"Alien Shooter 1 + Expansions","2003-06-12 17:24:05","2020-09-28 22:02:43",5.99
"Alien Shooter 2: Conscription","2012-05-18 17:24:04","2020-09-28 22:04:51",9.99
"Alien Shooter 2: Reloaded","2006-09-07 17:24:04","2020-09-28 22:07:34",4.99
"Alien Shooter: Revisited","2009-04-15 17:24:04","2020-09-28 22:09:21",4.99
"Alien Trilogy","1996-08-29 17:24:47","2021-01-05 01:00:55",9.99
"Aliens Versus Predator Classic 2000","2000-03-28 17:24:03","2021-08-31 09:57:57",5.99
"Aliens Versus Predator - Gold Edition","2000-03-28 17:23:58","2021-08-31 09:58:05",9.99
"American McGee's Grimm - Complete Edition","2008-07-31 17:24:52","2020-10-07 21:04:22",5.99
"Amerzone: The Explorer's Legacy","2001-08-01 17:24:29","2020-10-07 21:10:11",9.99
"Apache Longbow","1995-01-01 17:24:35","2021-04-05 16:10:49",5.99
"Arctic Adventure","1991-10-09 19:00:00","2021-09-24 23:16:37",0
"Arthur's Knights II: The Secret of Merlin","2001-05-01 11:00:00","2021-07-25 17:58:41",9.99
"Arthur's Knights: Tales of Chivalry","2000-10-31 17:24:52","2021-07-25 17:57:18",9.99
"Ascension To The Throne","2007-01-26 17:24:11","2020-10-07 21:06:57",4.99
"Atlantis: Evolution","2004-10-17 17:24:34","2021-07-28 05:21:59",9.99
"Atlantis: The Lost Tales","1997-09-30 17:24:29","2021-08-31 10:08:24",5.99
"Atlantis II: Beyond Atlantis","2000-06-14 17:24:30","2020-10-07 21:12:45",9.99
"Atlantis III: The New World","2001-10-24 17:24:34","2020-10-07 21:13:40",9.99
"Back to Bed","2014-08-06 17:24:30","2020-10-07 21:26:01",5.99
"Bio Menace","1993-08-03 17:24:26","2021-09-08 23:03:47",0
"Black Moon Chronicles","1999-01-01 12:00:00","2021-04-17 08:25:00",5.99
"Blackguards 2","2015-01-20 17:24:48","2020-10-07 21:25:04",14.99
"Blackguards: Special Edition","2014-01-22 17:24:12","2021-04-05 16:15:54",14.99
"Blackguards: Untold Legends (DLC)","2014-09-09 17:24:47","2021-05-18 14:28:33",0.99
"BLACKHOLE: Complete Edition","2015-02-27 12:00:00","2021-04-17 08:47:27",12.99
"Blake Stone: Aliens of Gold","1993-12-03 17:24:48","2021-08-18 02:19:16",4.99
"Blake Stone: Planet Strike","1994-10-28 17:24:48","2021-08-18 02:19:36",4.99
BloodRayne,"2003-09-09 17:24:02","2021-09-23 20:25:00",2.99
"BloodRayne 2","2005-08-02 17:24:02","2021-09-23 20:25:20",2.99
"BloodRayne: Betrayal","2014-04-30 17:24:27","2021-09-23 20:25:40",2.99
"Bomb The Monsters!","2015-11-06 17:24:48","2020-10-13 17:54:19",3.99
"Boom Town! Deluxe","2016-10-14 17:24:30","2020-10-13 17:55:26",1.99
BorderZone,"2006-07-19 17:24:11","2020-10-13 17:56:33",4.99
Breezeblox,"2015-05-15 17:24:30","2020-10-13 17:58:43",2.99
"Brigade E5: New Jagged Union","2006-10-17 17:24:11","2020-10-13 18:00:02",3.99
"Bug Adventure","1995-10-20 17:24:18","2020-10-13 18:00:35",4.99
"Calvin Tucker's Farm Animal Racing","2018-03-09 17:24:34","2020-10-13 18:01:21",3.99
"Cannon Fodder","1993-11-29 17:24:23","2021-08-31 09:58:33",5.99
"Cannon Fodder 2","1994-11-01 17:24:23","2021-07-10 02:05:14",5.99
"Carefree Capers: Shaping Up!","2015-08-31 17:24:24","2020-10-13 18:08:59",4.99
"Casino Blackjack","2004-04-02 17:24:33","2020-10-13 18:10:08",2.99
"Casino Poker","2004-04-02 17:24:33","2020-10-13 18:10:54",2.99
"Check Vs Mate","2012-08-03 17:24:35","2021-07-15 02:14:45",5.99
"Chicago 1930: Prohibition","2004-02-20 17:24:33","2021-08-21 09:10:15",5.99
"Commander Blood","1994-01-01 17:24:37","2020-10-13 18:29:27",5.99
"Commandos 2: Men Of Courage","2001-09-20 17:24:02","2020-10-13 18:47:54",4.99
"Commandos 3: Destination Berlin","2003-10-14 17:24:02","2020-10-13 18:55:39",4.99
"Commandos: Behind Enemy Lines","1998-07-31 17:24:02","2021-04-05 16:17:59",2.99
"Commandos: Beyond The Call Of Duty","1999-04-07 17:24:02","2021-04-05 16:30:51",2.99
"Commandos: Strike Force","2006-03-17 17:24:02","2021-04-05 16:33:02",5.99
"Conspiracy - KGB","1992-01-01 17:24:37","2021-04-05 16:46:27",5.99
"Construct - Escape the System","2016-12-02 17:24:30","2021-04-05 16:50:14",7.99
Copperbell,"2019-07-31 17:24:50","2021-04-05 16:50:58",9.99
"Cosmo's Cosmic Adventure","1992-03-01 17:24:35","2021-08-18 02:20:12",4.99
"Counter Action","1997-01-01 12:00:00","2021-09-27 06:25:54",5.99
"Creatures: Exodus","2004-09-15 17:24:03","2021-04-05 16:53:26",4.99
"Creatures: The Albian Years","2004-07-16 11:00:00","2021-04-17 07:49:02",4.99
"Creatures: Village","2001-10-02 17:24:35","2021-04-05 16:54:32",4.99
"Crystal Caves","1991-10-23 17:24:49","2021-08-18 02:20:32",4.99
"CT Special Forces: Fire For Effect","2005-03-24 17:24:35","2021-04-05 16:55:55",2.99
"Cuban Missile Crisis (Original + Ice Crusade)","2005-05-06 17:24:37","2021-04-05 16:58:19",8.99
"Curse - The Eye of Isis","2003-10-24 17:24:35","2021-07-13 18:00:07",4.99
"D: The Game","1996-03-31 17:24:51","2021-08-31 10:23:11",5.99
"Dangerous Waters","2006-02-07 17:24:17","2021-09-18 16:35:15",14.99
"Dark Ages","1991-02-01 19:00:00","2021-09-24 23:22:15",0
"Dawn Of Magic 2","2009-09-08 17:24:19","2021-04-05 17:26:02",9.99
"Dead Synchronicity - Tomorrow Comes Today","2015-04-10 17:24:20","2021-08-31 09:58:49",19.99
"Death Rally","1996-09-06 17:24:05","2021-04-05 17:32:19",0
"Death To Spies Gold Edition","2010-01-22 17:24:10","2020-10-07 20:04:14",12.99
"Death Track: Resurrection","2009-05-06 17:24:18","2021-04-05 17:35:52",4.99
"Deep Eclipse: New Space Odyssey","2014-10-28 17:24:30","2021-04-05 17:37:16",5.99
"Deep Sky Derelicts: Definitive Edition","2018-09-26 11:00:00","2021-04-17 09:05:53",24.79
Deepica,"2007-04-17 17:24:00","2021-04-05 17:44:58",2.99
"Defender Of The Crown","1986-01-02 17:24:18","2021-04-05 17:45:52",4.99
Deponia,"2012-08-07 17:24:12","2021-04-05 17:47:36",9.99
"Deponia 2: Chaos On Deponia","2012-11-06 17:24:12","2021-04-05 17:48:40",14.99
"Deponia 3: Goodbye Deponia","2013-10-18 17:24:12","2021-04-05 17:49:26",14.99
"Deponia 4: Deponia Doomsday","2016-03-01 17:24:49","2021-04-05 17:50:39",19.99
"Desert Law","2005-04-29 17:24:33","2021-04-26 17:20:50",2.99
"Desert Thunder","2003-11-19 17:24:35","2021-04-05 17:52:20",2.99
"Devil's Hunt","2019-09-17 11:00:00","2021-04-17 09:20:36",14.99
"Dinosaur Adventure","1992-05-01 17:24:09","2021-04-05 17:53:05",2.99
"Doodle Devil","2017-05-25 17:24:36","2021-04-05 17:53:41",9.99
"Doodle God","2015-09-24 17:24:36","2021-04-05 17:58:38",14.99
"Doodle God: 8-bit Mania","2016-11-18 17:24:36","2021-04-05 17:59:54",19.99
"Doodle God: Alchemy Jam","2018-01-26 17:24:36","2021-04-05 18:01:12",0.99
"Doodle God: Fantasy World of Magic","2017-10-20 17:24:36","2021-04-05 18:12:55",4.99
"Doodle Kingdom","2016-06-09 17:24:36","2021-04-05 18:14:31",8.99
"Doodle Mafia","2017-04-20 17:24:36","2021-07-09 13:33:30",7.99
"Dracula: Resurrection","1999-10-01 17:24:03","2021-08-31 09:59:01",3.99
"Dracula 2: The Last Sanctuary","2000-06-07 17:24:03","2020-09-25 17:24:03",3.99
"Dracula 3: The Path Of The Dragon","2008-08-12 17:24:03","2020-09-25 17:24:03",3.99
"Dracula 4: The Shadow Of The Dragon","2013-06-09 17:24:03","2020-09-25 17:24:03",5.99
"Dracula 5: The Blood Legacy","2013-12-03 17:24:04","2021-07-09 13:40:04",5.99
"Dragon Lore: The Legend Begins","1994-12-31 17:24:05","2021-08-31 09:59:14",4.99
"Dragon Lore II: Heart Of The Dragon Man","1997-06-01 17:24:19","2020-09-25 17:24:19",4.99
"Dream Pinball 3D","2012-09-19 17:24:36","2021-09-27 12:56:27",5.99
"Dreamscapes - Nightmare's Heir","2015-03-11 17:24:30","2020-09-25 17:24:30",6.99
"Dreamscapes - The Sandman","2014-04-16 17:24:31","2020-09-25 17:24:31",6.99
"Duke Nukem","1991-07-01 17:23:59","2021-08-31 09:59:27",2.99
"Duke Nukem II","1993-12-03 17:23:59","2021-08-31 09:59:41",2.99
"Duke Nukem 3D: Atomic Edition","1996-01-29 17:23:59","2021-07-28 18:06:30",4.99
"Duke Nukem: Manhattan Project","2002-05-14 17:23:59","2021-07-28 18:07:40",4.99
e-Racer,"2001-04-25 17:24:48","2021-07-15 02:13:36",2.99
"Earth 2140 Trilogy","2013-11-15 17:24:37","2020-09-25 17:24:37",5.99
"Earth 2150 Trilogy","2000-05-20 17:24:37","2020-09-25 17:24:37",5.99
"East India Company - Designer's Cut","2009-07-31 17:24:37","2021-03-26 22:29:25",7.99
"El Matador","2006-09-25 17:24:10","2020-09-25 17:24:10",4.99
"Elven Legacy Collection","2009-04-07 17:24:09","2020-09-25 17:24:09",14.99
"Empire Earth - Gold Edition","2003-03-08 17:24:21","2021-08-31 10:00:24",5.99
"Empire Earth II - Gold Edition","2006-06-04 17:24:24","2021-08-31 10:00:54",9.99
"Empire Earth III","2007-11-06 17:24:24","2021-08-31 10:00:58",9.99
"Empire Of The Ants","2000-07-17 17:24:48","2021-09-30 05:49:38",9.99
Enclave,"2002-07-19 17:24:08","2020-10-07 19:25:30",4.99
"Escape The Past","2016-09-14 17:24:19","2020-09-25 17:24:19",4.99
"Eternity: The Last Unicorn","2019-03-05 12:00:00","2021-04-17 10:31:06",19.99
"Eurofighter Typhoon","2001-07-30 11:00:00","2021-07-10 15:53:28",2.99
"Evil Genius","2004-09-28 17:24:08","2020-09-25 17:24:08",9.99
Expendable,"1999-05-15 17:24:16","2021-09-28 07:35:32",2.99
"Fables Interactives","2014-07-31 17:24:19","2020-09-25 17:24:19",4.99
"Faces Of War","2006-09-08 17:24:11","2020-09-25 17:24:11",4.99
"Fall of Light","2017-09-28 17:24:28","2020-09-25 17:24:28",14.99
"Fall of the New Age - Premium Edition","2014-01-03 12:00:00","2021-04-18 11:04:31",6.99
"Fallen Haven: Liberation Day","1998-01-01 17:24:37","2020-09-25 19:24:00",5.99
"Fantasy Wars","2010-08-06 17:24:11","2020-09-25 17:24:11",4.99
"Fleet Command","1999-05-15 17:24:17","2021-09-21 13:23:32",9.99
"Flyboys: Squadron","2006-11-21 17:24:25","2020-09-25 17:24:25",14.99
"Fragile Allegiance","1997-03-31 17:24:09","2020-09-25 17:24:09",4.99
"Freight Tycoon Inc.","2007-08-15 17:24:11","2020-09-25 17:24:11",4.99
"FunPack: Chloe's Closet","2015-08-31 17:24:25","2020-09-25 17:24:25",3.99
"FunPack: Dive Olly Dive","2015-08-31 17:24:25","2020-09-25 17:24:25",3.99
"FunPack: Kids","2015-08-31 17:24:24","2020-09-25 17:24:24",3.99
"FunPack: Mums","2015-08-31 17:24:25","2021-07-13 18:00:22",3.99
"Galactic Assault: Prisoner Of Power","2007-08-22 17:24:21","2020-09-25 17:24:21",5.99
"Gift of Parthax","2018-09-12 17:24:28","2020-09-25 17:24:28",6.99
"Glacier 3: The Meltdown","2010-09-06 17:24:38","2020-09-25 17:24:38",2.99
"Golden Path of Plumeboom","2007-08-31 17:24:00","2021-02-24 12:14:00",2.99
Gomo,"2013-12-06 17:24:49","2020-09-25 17:24:49",7.99
"Gorky 17","1999-09-29 17:24:18","2020-09-25 17:24:18",4.99
"Great Battles Trilogy - Collector's Edition","1997-01-02 17:24:38","2020-09-25 17:24:38",5.99
"Green Ranch","2016-10-21 17:24:31","2020-09-25 17:24:31",6.99
"Ground Control Anthology","2001-01-17 17:24:22","2021-08-31 10:09:14",5.99
"Ground Control 2: Operation Exodus Special Edition","2004-06-22 17:24:22","2020-09-25 17:24:22",5.99
"Guilty Gear Isuka","2006-06-20 17:24:39","2020-09-25 17:24:39",9.99
"Guilty Gear X2 #Reload","2004-07-23 17:24:39","2020-09-25 17:24:39",9.99
"Gun Metal","2003-09-23 17:24:38","2020-09-25 17:24:38",2.99
"Haegemonia: Gold Edition","2002-11-13 17:24:26","2020-09-25 17:24:26",9.99
Haimrik,"2018-06-19 17:24:28","2020-09-25 17:24:28",19.99
"Hard Truck 2: King of the Road","2001-06-27 17:24:53","2020-12-23 11:24:47",4.99
Hardwar,"1998-09-11 07:00:00","2021-09-17 07:32:59",9.99
Hexus,"2012-01-12 17:24:38","2021-07-13 18:00:33",2.99
Hind,"1996-01-02 17:24:38","2020-09-25 17:24:38",5.99
"Hocus Pocus","1994-06-01 17:24:33","2021-08-18 02:21:37",4.99
"Hogs of War","2000-06-08 17:24:09","2020-09-25 17:24:09",4.99
"Hostile Waters: Antaeus Rising","2001-06-14 17:24:47","2020-09-25 17:24:47",2.99
"Hyper Fighters","2011-06-14 17:24:38","2020-09-25 17:24:38",2.99
"I.G.I. 2: Covert Strike","2003-03-03 17:24:26","2021-07-29 03:09:15",9.99
"IL-2 Sturmovik 1946: Ultimate Edition","2006-12-15 17:24:09","2021-05-28 12:57:54",9.99
"Imperial Glory","2005-07-08 17:24:03","2020-09-25 17:24:03",5.99
"In Fear I Trust: Episodes 1-4 Collection","2016-09-22 11:00:00","2021-04-18 11:42:46",12.99
"Incoming Double Pack","1998-07-09 17:24:19","2021-09-28 07:36:12",2.99
"Incoming Trilogy","1998-07-09 17:24:16","2021-08-21 09:12:58",5.99
"Iron Storm","2002-10-25 17:24:38","2020-09-25 17:24:38",4.99
"Jack Keane","2008-04-15 17:24:38","2020-09-25 17:24:38",5.99
"Jack Orlando - A Cinematic Adventure - Director's Cut","2012-01-26 17:24:38","2020-09-25 17:24:38",5.99
"Jagged Alliance 2 - Wildfire","2004-03-08 17:24:39","2020-09-25 17:24:39",5.99
"Jane Angel: Templar Mystery","2009-12-10 17:24:39","2020-09-25 17:24:39",2.99
"Journey of a Roach","2013-11-04 17:24:50","2020-09-25 17:24:50",6.99
"Judge Dredd (1995)","1995-06-02 17:24:28","2020-09-25 17:24:28",5.99
"Judge Dredd: Dredd vs Death","2003-10-17 17:24:21","2020-09-25 17:24:21",5.99
"Kaan - Barbarian's Blade","2002-11-01 17:24:39","2021-07-28 05:20:18",5.99
"Ken Follett's The Pillars of the Earth - Complete Edition","2017-08-15 17:24:50","2020-10-07 20:38:51",29.99
"Kid's Zoo: A Baby Animal Adventure","1993-01-01 17:24:39","2020-09-25 17:24:39",4.99
"Killing Time","1996-10-31 17:24:22","2021-09-25 08:35:09",0
"King's Bounty: Armored Princess","2009-11-19 17:24:13","2020-09-25 17:24:13",9.99
"King's Bounty: Crossworlds GOTY Edition","2009-11-19 17:24:13","2020-09-25 17:24:13",14.99
"King's Bounty: Dark Side - Premium Edition","2014-08-19 17:24:20","2020-09-25 17:24:20",14.99
"King's Bounty: The Legend","2008-09-23 17:24:13","2020-09-25 17:24:13",6.99
"King's Bounty: Warriors of the North - Complete Edition","2012-10-26 17:24:17","2020-09-25 17:24:17",14.99
"Knights and Merchants - The Peasants Rebellion","2001-11-27 17:24:31","2020-09-25 17:24:31",6.99
KnightShift,"2003-12-31 17:24:39","2020-09-25 17:24:39",6.99
"Konung 2: Blood of Titans","2004-11-30 17:24:13","2020-09-25 17:24:13",2.99
"Konung 3: Ties of the Dynasty","2010-06-17 17:24:13","2020-09-25 17:24:13",2.99
"Konung: Legends of the North","1999-09-06 17:24:28","2021-09-07 11:20:10",2.99
